token,umap_2_component_1,umap_2_component_2,word_count
rt,-3.2701907,11.793945,169360
the,-1.3788543,10.865684,165662
to,-1.6966296,10.330579,96394
impeachment,-1.1944021,10.721814,72385
of,-1.1027393,10.581575,66013
is,-1.9578595,11.030359,56084
trump,-2.6013355,11.580556,53781
and,-1.5227888,10.867562,50062
in,-1.1782087,12.387047,45706
for,-1.4038541,11.753159,36529
that,-2.092039,11.151062,35199
this,-2.419541,11.764943,31920
https,-1.2867875,13.395928,30129
it,-2.5117016,11.496495,29101
co,-1.1050229,13.442008,28304
he,-1.4858642,11.131785,27923
on,-1.1337314,12.637876,27852
you,-1.8649837,11.828821,26851
president,-1.3972511,12.070851,23031
be,-1.5414844,10.85048,21728
trial,-1.1242263,11.984188,19092
realdonaldtrump,-1.8626881,13.488199,18460
senate,-1.516357,11.004396,18245
are,-1.543863,11.577226,17909
was,-1.6772314,11.41262,17707
not,-2.3162258,10.968318,17515
house,-1.1615835,12.325782,17007
they,-1.8613256,11.52173,16691
with,-0.5789572,11.5535,16623
his,-1.4086839,11.105658,16271
impeached,-1.6173943,11.414163,15825
have,-2.125174,11.282733,15755
will,-1.5136285,10.310085,15347
democrats,-1.5393792,12.971081,15344
we,-1.888927,11.357625,15282
pelosi,-2.2793646,12.420672,14708
has,-2.3365953,11.436143,14578
from,-0.6842791,11.998802,14566
if,-2.014871,10.973157,14550
as,-2.0520515,11.7199335,13373
an,-0.9202899,11.259313,13016
about,-2.4648447,11.963772,12237
by,-1.3953297,11.631529,11852
what,-1.9200201,11.85025,11324
all,-1.975458,11.434697,11268
who,-0.8629292,11.535716,11181
no,-2.457917,11.03333,10990
amp,-1.0087403,11.4431095,10753
just,-3.4838052,12.679887,10361
but,-2.3634493,11.28075,9428
so,-2.181897,11.612892,9193
at,-0.8874903,12.513188,8995
can,-1.4813311,10.251059,8889
should,-1.5279646,10.23613,8771
impeach,-1.2256778,10.884508,8557
witnesses,-0.6862252,11.496526,8255
up,-2.4664707,11.676383,7926
now,-2.0563302,10.648266,7910
articles,-0.98362064,11.976946,7875
do,-2.1571455,11.429051,7606
out,-0.9873084,12.330456,7365
their,-1.8355243,13.401149,7272
him,0.013805874,12.837296,7256
one,-2.0327682,11.422163,7243
she,-1.5649207,11.849561,7228
gop,-1.2621493,12.912386,7212
our,-1.2542886,10.947345,7171
when,-2.0785592,11.323256,7113
how,-2.1110542,11.773553,6931
nancy,-1.0162638,10.765241,6888
there,-2.2766614,10.94569,6870
been,-1.9306226,10.990663,6864
would,-1.5120572,10.264273,6858
mcconnell,-1.4035233,12.611412,6732
your,-1.8646885,11.995661,6706
vote,-0.6745373,13.203915,6599
over,-1.0532696,11.684299,6451
people,-0.8920938,11.189807,6146
new,-0.57518566,12.127025,6079
republicans,-1.016654,12.276999,6048
re,-1.5828732,11.493463,6014
like,-2.0927658,11.859695,6013
or,-2.1024933,10.970978,5960
why,-2.0602102,10.586937,5906
schiff,-0.6737804,12.850542,5900
more,-1.4602276,9.068894,5790
after,-0.45432112,12.335207,5777
don,-1.680882,10.437076,5661
said,-1.9112364,11.553513,5537
time,-0.7387027,11.718019,5513
because,-2.0514264,11.096457,5421
against,-1.1161261,11.100189,5276
says,-1.0309057,12.240365,5229
her,-1.3786094,12.007995,5164
get,-1.060133,10.470088,5130
dems,-1.3741224,13.004816,5104
did,-2.1258478,11.405476,5035
my,-1.8649547,11.685549,4962
want,-1.648537,10.844712,4932
senators,-0.6176016,12.410936,4798
only,-2.494366,11.092463,4726
know,-1.9525454,11.533058,4684
today,-0.55428976,12.438442,4634
republican,-0.9952572,12.903769,4497
us,-0.45901915,11.301631,4496
donald,-3.4625225,13.052969,4270
evidence,-0.7132863,11.604725,4255
me,-2.0780232,11.708911,4187
were,-1.5312037,11.493366,4079
