features,reducer_type,n_components,y_col,model_type,best_params,accuracy,f1_macro,f1_weighted,roc_auc_score
openai_embeddings,,1536,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.945,0.943,0.945,0.979
openai_embeddings,,1536,is_bot,XGBClassifier,{},0.95,0.949,0.95,0.976
openai_embeddings,,1536,is_bot,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.942,0.941,0.942,0.975
pca_7,PCA,7,is_bot,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 150}",0.939,0.938,0.94,0.974
pca_7,PCA,7,is_bot,LogisticRegression,{'classifier__max_iter': 1000},0.943,0.942,0.944,0.974
pca_3,PCA,3,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.941,0.94,0.942,0.972
pca_3,PCA,3,is_bot,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 100}",0.943,0.941,0.943,0.97
pca_2,PCA,2,is_bot,LogisticRegression,{'classifier__max_iter': 25},0.938,0.936,0.938,0.969
pca_7,PCA,7,is_bot,XGBClassifier,{},0.937,0.936,0.938,0.969
pca_3,PCA,3,is_bot,XGBClassifier,{},0.933,0.932,0.934,0.969
pca_2,PCA,2,is_bot,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 50, 'classifier__n_estimators': 100}",0.939,0.937,0.939,0.969
pca_2,PCA,2,is_bot,XGBClassifier,{},0.933,0.931,0.933,0.967
openai_embeddings,,1536,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.891,0.868,0.886,0.964
openai_embeddings,,1536,opinion_community,XGBClassifier,{},0.9,0.886,0.899,0.963
openai_embeddings,,1536,fourway_label,XGBClassifier,{},0.848,0.833,0.841,0.958
openai_embeddings,,1536,fourway_label,LogisticRegression,{'classifier__max_iter': 1000},0.847,0.828,0.837,0.955
openai_embeddings,,1536,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.895,0.877,0.892,0.951
pca_7,PCA,7,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.828,0.807,0.819,0.949
tsne_3,T-SNE,3,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.896,0.88,0.895,0.949
openai_embeddings,,1536,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.815,0.761,0.783,0.948
pca_7,PCA,7,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.88,0.861,0.878,0.947
tsne_4,T-SNE,4,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.889,0.873,0.888,0.943
tsne_3,T-SNE,3,opinion_community,XGBClassifier,{},0.893,0.877,0.892,0.943
umap_3,UMAP,3,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 150}",0.898,0.881,0.896,0.942
pca_7,PCA,7,fourway_label,XGBClassifier,{},0.816,0.799,0.81,0.941
openai_embeddings,,1536,is_toxic,XGBClassifier,{},0.912,0.836,0.905,0.941
pca_7,PCA,7,opinion_community,XGBClassifier,{},0.871,0.853,0.87,0.937
tsne_2,T-SNE,2,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.903,0.89,0.902,0.937
tsne_2,T-SNE,2,opinion_community,XGBClassifier,{},0.898,0.883,0.897,0.937
umap_2,UMAP,2,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 100}",0.895,0.879,0.893,0.937
tsne_4,T-SNE,4,opinion_community,XGBClassifier,{},0.884,0.868,0.883,0.936
umap_2,UMAP,2,opinion_community,XGBClassifier,{},0.897,0.881,0.895,0.934
pca_7,PCA,7,fourway_label,LogisticRegression,{'classifier__max_iter': 1000},0.797,0.774,0.785,0.934
umap_3,UMAP,3,opinion_community,XGBClassifier,{},0.892,0.875,0.89,0.933
pca_3,PCA,3,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.787,0.744,0.767,0.931
openai_embeddings,,1536,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.892,0.784,0.879,0.925
pca_3,PCA,3,fourway_label,XGBClassifier,{},0.785,0.757,0.774,0.925
pca_3,PCA,3,fourway_label,LogisticRegression,{'classifier__max_iter': 25},0.784,0.75,0.768,0.916
openai_embeddings,,1536,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.876,0.728,0.852,0.913
pca_7,PCA,7,is_toxic,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.891,0.797,0.883,0.913
pca_3,PCA,3,opinion_community,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.843,0.812,0.837,0.911
pca_7,PCA,7,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.846,0.823,0.844,0.909
pca_2,PCA,2,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 25, 'classifier__n_estimators': 250}",0.736,0.674,0.705,0.905
pca_7,PCA,7,is_toxic,XGBClassifier,{},0.884,0.791,0.877,0.902
tsne_3,T-SNE,3,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.713,0.699,0.708,0.902
pca_3,PCA,3,opinion_community,XGBClassifier,{},0.839,0.812,0.836,0.901
pca_2,PCA,2,fourway_label,XGBClassifier,{},0.728,0.693,0.714,0.9
tsne_2,T-SNE,2,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'log_loss', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.717,0.696,0.709,0.899
tsne_2,T-SNE,2,fourway_label,XGBClassifier,{},0.72,0.704,0.712,0.897
tsne_4,T-SNE,4,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 250}",0.692,0.673,0.687,0.894
umap_3,UMAP,3,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 250}",0.695,0.676,0.686,0.893
umap_3,UMAP,3,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.878,0.859,0.876,0.892
tsne_3,T-SNE,3,fourway_label,XGBClassifier,{},0.693,0.677,0.688,0.891
umap_2,UMAP,2,fourway_label,RandomForestClassifier,"{'classifier__criterion': 'gini', 'classifier__min_samples_leaf': 10, 'classifier__n_estimators': 250}",0.685,0.659,0.673,0.885
tsne_2,T-SNE,2,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.868,0.849,0.867,0.884
tsne_4,T-SNE,4,opinion_community,LogisticRegression,{'classifier__max_iter': 25},0.856,0.835,0.854,0.884
pca_7,PCA,7,is_toxic,LogisticRegression,{'classifier__max_iter': 25},0.88,0.772,0.869,0.882
