token,pca_2_component_1,pca_2_component_2,word_count
rt,-1.0494375,0.09579464,169360
the,-2.809567,0.41790643,165662
to,-3.143732,1.4357767,96394
impeachment,-0.7274054,-0.16558053,72385
of,-0.7805985,0.9398996,66013
is,-3.9566865,-0.17158934,56084
trump,1.5115538,1.7424649,53781
and,-2.8281958,-0.9476778,50062
in,-0.21306892,0.41006637,45706
for,-0.949392,-0.4955638,36529
that,-4.904712,2.8463821,35199
this,-5.718801,-1.4685395,31920
https,3.4259536,-1.3076043,30129
it,-6.689019,0.2997296,29101
co,3.8696346,-0.7650427,28304
he,-1.8104628,3.689747,27923
on,1.0277303,-0.9013465,27852
you,-7.8559923,-2.6715312,26851
president,-1.3092571,-0.24032688,23031
be,-4.9196205,2.1621318,21728
trial,-1.5486909,8.741957,19092
realdonaldtrump,-5.3038397,-7.9307427,18460
senate,-3.8789093,7.0056143,18245
are,-5.1351366,-4.0896173,17909
was,-0.4249839,-1.217024,17707
not,-6.505805,2.9516146,17515
house,-1.5358646,4.6192703,17007
they,-8.820734,-3.68592,16691
with,-0.91946507,-1.4345843,16623
his,1.5897955,3.2073078,16271
impeached,-4.4352694,0.67637235,15825
have,-5.564359,-0.0228087,15755
will,-6.548234,0.8338163,15347
democrats,-4.0971985,-9.411163,15344
we,-5.641272,0.16467121,15282
pelosi,0.20210937,-6.8131547,14708
has,-0.9803582,1.323739,14578
from,0.6213639,1.7407489,14566
if,-6.1217713,3.869543,14550
as,-1.7007598,1.5100938,13373
an,-1.6799129,2.270298,13016
about,-3.4344523,-1.843439,12237
by,0.82228595,1.5053442,11852
what,-6.268975,-0.18198171,11324
all,-4.7494617,-2.1774192,11268
who,-0.29878515,2.2091115,11181
no,-6.7399945,0.8815605,10990
amp,-1.9530616,-3.9141614,10753
just,-1.8063016,0.3417873,10361
but,-7.562014,0.9804002,9428
so,-6.9638343,-2.562337,9193
at,2.5328662,-1.71879,8995
can,-7.0806713,2.5974052,8889
should,-3.8958507,4.0854225,8771
impeach,-4.302361,-3.5737925,8557
witnesses,-4.538539,13.747102,8255
up,-2.2367818,-3.9039605,7926
now,-2.1782444,-2.2881925,7910
articles,-4.9137607,2.6101937,7875
do,-8.463072,-0.66864616,7606
out,-0.050864972,-2.821902,7365
their,-6.1836023,-5.7085547,7272
him,-2.9154902,1.8572733,7256
one,-3.003702,-0.0553699,7243
she,-4.247917,-5.046972,7228
gop,-1.0673822,2.2847226,7212
our,-4.9419055,-2.774002,7171
when,-3.528946,-0.29534683,7113
how,-5.3004136,-1.857091,6931
nancy,-2.6781163,-9.4444065,6888
there,-5.2963653,3.211696,6870
been,-2.435917,-2.101473,6864
would,-4.1852856,4.638182,6858
mcconnell,-1.1454413,9.74127,6732
your,-5.8541074,-4.7776103,6706
vote,-2.713964,2.076403,6599
over,-2.061641,-1.8107506,6451
people,-6.310658,-2.9886153,6146
new,4.607958,2.9788795,6079
republicans,-3.9885197,3.8594275,6048
re,-5.858639,-3.4661834,6014
like,-4.4876175,-2.225393,6013
or,-6.714154,2.9890897,5960
why,-5.4423294,2.5474844,5906
schiff,0.4690292,-1.5924461,5900
more,-2.6842518,-1.2208049,5790
after,2.460724,-1.7912687,5777
don,-7.047036,-1.3158743,5661
said,-1.0747458,3.3883116,5537
time,-3.4736676,-3.9176726,5513
because,-6.0537953,0.17428172,5421
against,0.82250464,1.2578461,5276
says,2.5451696,5.012742,5229
her,-1.0023389,-7.697731,5164
get,-4.5524626,-3.1167192,5130
dems,-4.8280673,-8.927743,5104
did,-4.337575,1.420932,5035
my,-1.0023752,-0.8975765,4962
want,-5.978529,-0.016842473,4932
senators,-0.10660282,7.7697086,4798
only,-6.161587,0.10520593,4726
know,-5.181642,-0.47894898,4684
today,1.2297724,-0.50914127,4634
republican,1.0156451,3.6288471,4497
us,-1.5701452,-1.2499659,4496
donald,1.8638488,3.2400966,4270
evidence,-3.5492637,9.996261,4255
me,-1.6625116,-3.3795667,4187
were,-1.5691909,-0.37907577,4079
call,-0.9291703,3.5443804,3964
case,-3.1992443,3.0652614,3958
even,-5.2289343,1.2860622,3938
any,-5.8486056,5.579301,3931
going,-5.9782186,-2.8900824,3930
think,-6.352189,-0.064642884,3895
ukraine,5.6664686,3.563539,3842
power,-4.2357855,5.4947987,3838
had,-1.5570301,-1.3282388,3790
speakerpelosi,-5.832567,-3.115141,3785
news,4.679105,0.13376188,3760
american,-4.1988373,-2.1986187,3760
say,-3.9220638,3.791324,3645
breaking,5.742481,1.1462106,3632
sham,-4.889731,-7.808066,3619
congress,-2.1829844,1.4161683,3619
being,-2.1880784,-0.85012156,3591
here,-1.6002814,1.4820272,3533
senator,0.8224383,6.334724,3509
day,-0.07833982,-2.9071243,3501
democrat,0.20912176,-8.662192,3491
right,-3.999307,0.436879,3488
ve,-4.639722,-1.8210543,3469
let,-5.5907726,-1.1791066,3458
bolton,2.753109,12.359704,3439
every,-2.8247793,3.9693778,3360
biden,0.87177014,-0.5963385,3357
office,-0.5908144,4.768251,3340
than,-3.0317411,-1.787814,3297
never,-6.0560675,-1.9065894,3276
nothing,-5.686182,-1.6648972,3165
before,0.18154526,1.8227779,3158
during,5.1044803,2.4551806,3079
could,-2.7860281,3.746117,3051
tribelaw,-4.048446,11.108903,3047
got,-0.26673755,-5.6149178,3030
history,-5.3113956,0.2879626,3009
see,-5.1551075,-1.429806,2990
them,-4.0711784,-1.5166876,2976
first,-0.21797338,-0.870827,2951
white,5.4553075,6.5411444,2938
constitution,-7.3067493,6.3751054,2933
country,-5.4759235,-2.1083503,2898
political,-2.9490192,-4.069742,2839
election,-3.885121,-2.890472,2826
speaker,-0.7237581,-0.14644907,2819
then,-3.1211245,1.2186143,2813
trying,-4.5593057,-4.214465,2775
justice,-0.8481781,8.797061,2772
again,-3.0814846,-1.4542527,2767
th,0.44260156,-0.5054098,2747
these,-5.035899,-1.0133815,2747
process,-6.964691,2.4382393,2729
mitch,1.0576751,4.374833,2725
adam,0.4860942,-3.062961,2716
need,-4.476712,2.0418475,2712
americans,-4.5093036,-3.3077,2701
make,-6.440927,1.750474,2700
obama,2.841768,-6.322557,2689
into,2.0269027,-3.8593218,2682
must,-1.9821545,3.8460405,2665
does,-4.9783278,3.2244124,2655
didn,-3.9997149,-1.6392325,2653
charliekirk,-0.5932294,-7.142946,2645
legal,1.8486315,8.632391,2628
party,-3.5566623,-4.9570503,2624
two,2.5453637,-0.85849863,2616
hoax,-3.7629235,-12.547121,2599
team,3.243929,1.5580906,2580
law,-0.6152351,5.5323834,2577
sen,5.3634295,6.826649,2540
still,-2.406755,-1.9533764,2503
america,-3.8280962,-6.796723,2482
doesn,-5.5374703,3.4089868,2464
rep,8.683057,2.5879521,2444
gtconway,-2.33968,7.405271,2429
while,1.5566783,-5.946031,2416
made,-0.16203186,1.5835166,2415
go,-4.112404,-2.1695046,2408
really,-6.5589375,-1.4399343,2383
john,5.4156137,5.323437,2378
some,-0.8189518,-0.36634853,2352
very,-3.3771176,-1.335569,2349
partisan,-4.377403,-5.0431833,2348
take,-2.7107873,-0.90463394,2335
down,-0.09078542,-5.8350506,2324
joycewhitevance,-1.9651461,6.175824,2315
repadamschiff,-3.398964,3.7117898,2290
last,1.2598323,-6.0250673,2290
abuse,-1.0407779,1.8964807,2290
voted,-2.1038148,1.1370659,2286
most,-3.3083544,0.6391385,2275
defense,3.507215,6.22948,2247
clinton,-0.2536693,4.712344,2229
which,-2.9896734,3.8362284,2226
won,-4.016724,-1.9475045,2210
