token,tsne_2_component_1,tsne_2_component_2,word_count
rt,-8.465846,38.72307,169360
the,9.291583,46.337013,165662
to,-11.594595,40.61875,96394
impeachment,3.1220424,59.264114,72385
of,2.9529533,58.435776,66013
is,-8.472015,55.0859,56084
trump,54.109947,-2.2278566,53781
and,8.311002,37.286396,50062
in,13.351711,48.0636,45706
for,-14.208039,41.194126,36529
that,9.894872,46.014244,35199
this,21.614292,49.482944,31920
https,70.95933,40.27754,30129
it,-7.001934,59.499966,29101
co,70.87318,40.354275,28304
he,29.94248,66.352295,27923
on,56.304184,8.871034,27852
you,30.072432,40.3446,26851
president,43.088535,49.50158,23031
be,6.1015315,54.52134,21728
trial,62.156464,0.83034915,19092
realdonaldtrump,39.370636,55.365845,18460
senate,5.4691596,55.08891,18245
are,0.5443517,50.748264,17909
was,2.4395247,44.669228,17707
not,0.15046448,45.864304,17515
house,48.02945,56.79451,17007
they,29.797483,40.327362,16691
with,53.935364,39.12614,16623
his,46.28757,60.438305,16271
impeached,26.667065,59.079983,15825
have,5.6138353,48.553917,15755
will,-5.0751047,52.30843,15347
democrats,40.763172,51.892445,15344
we,29.90028,40.300526,15282
pelosi,32.66329,48.244064,14708
has,5.5473905,48.424812,14578
from,55.587643,50.09505,14566
if,2.8722947,49.37595,14550
as,26.464825,51.593853,13373
an,53.874672,43.60691,13016
about,29.526382,49.68912,12237
by,-14.137005,41.287357,11852
what,28.42871,50.757698,11324
all,50.18789,-16.897512,11268
who,49.92393,46.950733,11181
no,1.1751312,40.865387,10990
amp,8.271858,37.382484,10753
just,58.756683,-10.552294,10361
but,7.207977,45.640694,9428
so,30.140318,43.150444,9193
at,66.42345,8.558051,8995
can,-5.0784955,52.361755,8889
should,-4.426353,52.45191,8771
impeach,12.649964,55.37901,8557
witnesses,-3.1190548,57.954067,8255
up,27.90489,52.4457,7926
now,2.0974007,50.40444,7910
articles,7.4935246,61.199223,7875
do,27.191423,48.071747,7606
out,58.66579,35.95587,7365
their,38.595566,56.193413,7272
him,64.33024,45.487762,7256
one,10.807047,41.29595,7243
she,30.168913,47.646812,7228
gop,74.77697,30.668184,7212
our,18.478409,59.484943,7171
when,25.924223,66.48437,7113
how,30.296185,43.37273,6931
nancy,5.0460887,61.253925,6888
there,9.788805,41.1099,6870
been,-4.731756,44.64771,6864
would,-5.0541954,52.47896,6858
mcconnell,57.46874,54.27982,6732
your,30.241756,40.35984,6706
vote,7.6956644,66.96794,6599
over,30.65733,49.264874,6451
people,51.558395,43.42363,6146
new,59.77056,45.95002,6079
republicans,0.4012106,52.460484,6048
re,0.57162577,50.76998,6014
like,29.58315,42.6063,6013
or,2.7007725,48.826862,5960
why,5.7685595,44.25091,5906
schiff,71.41817,33.72054,5900
more,-23.583094,41.91974,5790
after,68.91372,7.691133,5777
don,-6.2071357,52.744633,5661
said,4.8153644,45.49258,5537
time,47.673935,48.92073,5513
because,10.139241,47.29741,5421
against,3.5841367,58.018665,5276
says,45.21723,57.458485,5229
her,30.21238,47.655083,5164
get,9.503968,53.972073,5130
dems,40.783,51.870396,5104
did,-1.22879,49.61078,5035
my,22.202196,46.887978,4962
want,-1.205491,54.081833,4932
senators,66.31532,26.839794,4798
only,-8.552475,50.18073,4726
know,8.632797,49.667507,4684
today,62.92591,4.8663087,4634
republican,74.74816,30.67194,4497
us,54.79905,42.378864,4496
donald,34.19796,60.498444,4270
evidence,60.86936,47.703575,4255
me,31.956608,43.536755,4187
were,0.45486018,50.7032,4079
call,-0.66550225,54.115543,3964
case,21.684784,57.9749,3958
even,9.433039,48.70933,3938
any,3.0597503,43.096073,3931
going,-5.28782,50.335503,3930
think,8.418371,49.884953,3895
ukraine,57.276302,21.95908,3842
power,16.672152,60.305534,3838
had,-0.87825966,50.80638,3790
speakerpelosi,22.790846,54.37007,3785
news,62.00294,11.362004,3760
american,52.504856,41.668987,3760
say,4.937152,54.278786,3645
breaking,64.44042,9.316258,3632
sham,39.20653,52.42102,3619
congress,21.865982,60.997906,3619
being,50.67226,-14.841277,3591
here,66.75922,-3.365447,3533
senator,72.64701,26.48511,3509
day,60.50932,4.3800807,3501
democrat,71.03479,31.087425,3491
right,4.8148694,46.44064,3488
ve,5.5870833,48.54953,3469
let,-5.7824855,51.08003,3458
bolton,62.825417,16.76979,3439
every,30.305832,60.330498,3360
